Date,Open,High,Low,Close,Volume
3/5/21,31.2,31.2,29.2,30.9,"750,359"
3/4/21,32.5,32.62,30.15,30.91,"880,675"
3/3/21,32.95,33.08,32.25,32.49,"458,282"
3/2/21,33,33.06,32.65,32.72,"311,370"
3/1/21,33.15,33.3,32.83,33.06,"824,335"
2/26/21,32.26,32.95,31.52,32.74,"560,374"
2/25/21,34.08,34.25,31.68,31.91,"1,243,682"
2/24/21,32.92,34,32.65,33.91,"1,303,757"
2/23/21,32.45,32.67,30.62,32.62,"819,623"
2/22/21,31.86,32.56,31.81,32.13,"787,314"
2/19/21,31.47,32.14,31.47,32.04,"437,350"
2/18/21,30.88,31.47,30.68,31.29,"383,850"
2/17/21,31.07,31.23,30.55,31.2,"420,106"
2/16/21,30.83,31.13,30.55,30.8,"613,953"
2/12/21,29,29.86,28.5,29.79,"204,736"
2/11/21,29.74,29.74,28.86,29.17,"168,647"
2/10/21,30.04,30.05,29.26,29.7,"274,973"
2/9/21,30.04,30.06,29.16,29.59,"395,663"
2/8/21,29.7,30.21,29.6,30.17,"330,168"
2/5/21,28.61,29.6,28.6,29.24,"399,957"
2/4/21,27.8,28.21,27.51,28.2,"171,770"
2/3/21,27.43,27.74,27.3,27.56,"211,713"
2/2/21,26.52,26.98,26.52,26.94,"133,309"
2/1/21,25.69,26.1,25.67,26.07,"145,276"
1/29/21,26.3,26.3,25.14,25.25,"358,594"
1/28/21,26.16,26.59,25.85,26.28,"170,534"
1/27/21,26.25,27.74,25.6,26.24,"116,727"
1/26/21,26.47,26.68,26.47,26.64,"78,319"
1/25/21,26.23,26.57,25.75,26.47,"98,325"
1/22/21,26.22,26.45,26.2,26.4,"69,154"
1/21/21,26.36,26.52,26.01,26.47,"209,757"
1/20/21,26.38,26.43,26.12,26.35,"193,106"
1/19/21,26.01,26.19,25.83,26.1,"118,581"
1/15/21,26.39,26.42,25.96,26,"129,068"
1/14/21,26.18,26.61,26.18,26.52,"147,092"
1/13/21,26,26.08,25.85,25.94,"54,339"
1/12/21,25.73,26.24,25.65,26.16,"71,407"
1/11/21,25.57,25.91,25.52,25.81,"109,549"
1/8/21,25.96,26.21,25.83,26.19,"130,063"
1/7/21,25.72,25.99,25.59,25.94,"107,828"
1/6/21,25.83,26.31,25.72,25.94,"151,734"
1/5/21,25.28,25.96,25.27,25.91,"118,083"
1/4/21,26.12,26.32,25.13,25.36,"129,193"
