Date,Open,High,Low,Close
12/16/20,0.91%,0.95%,0.90%,0.92%
12/15/20,0.90%,0.92%,0.89%,0.91%
12/14/20,0.90%,0.94%,0.89%,0.90%
12/11/20,0.91%,0.92%,0.88%,0.90%
12/10/20,0.94%,0.94%,0.90%,0.91%
12/9/20,0.92%,0.96%,0.92%,0.94%
12/8/20,0.93%,0.94%,0.90%,0.92%
12/7/20,0.97%,0.97%,0.92%,0.93%
12/4/20,0.91%,0.99%,0.91%,0.97%
12/3/20,0.94%,0.95%,0.90%,0.91%
12/2/20,0.93%,0.96%,0.91%,0.94%
12/1/20,0.85%,0.95%,0.84%,0.93%
11/30/20,0.85%,0.86%,0.83%,0.85%
11/27/20,0.89%,0.89%,0.84%,0.85%
11/25/20,0.88%,0.90%,0.86%,0.89%
11/24/20,0.86%,0.89%,0.86%,0.88%
11/23/20,0.83%,0.87%,0.83%,0.86%
11/20/20,0.84%,0.85%,0.82%,0.83%
11/19/20,0.87%,0.87%,0.83%,0.84%
11/18/20,0.86%,0.89%,0.84%,0.87%
11/17/20,0.91%,0.92%,0.86%,0.86%
11/16/20,0.90%,0.93%,0.87%,0.91%
11/13/20,0.88%,0.90%,0.87%,0.90%
11/12/20,0.98%,0.98%,0.88%,0.88%
11/10/20,0.94%,0.97%,0.91%,0.96%
11/9/20,0.82%,0.97%,0.80%,0.94%
11/6/20,0.77%,0.84%,0.76%,0.82%
11/5/20,0.77%,0.80%,0.72%,0.77%
11/4/20,0.90%,0.94%,0.72%,0.77%
11/3/20,0.86%,0.90%,0.84%,0.90%
11/2/20,0.88%,0.88%,0.83%,0.86%
10/30/20,0.83%,0.88%,0.81%,0.88%
10/29/20,0.77%,0.84%,0.77%,0.83%
10/28/20,0.78%,0.79%,0.75%,0.77%
10/27/20,0.80%,0.81%,0.77%,0.78%
10/26/20,0.84%,0.85%,0.79%,0.80%
10/23/20,0.87%,0.87%,0.83%,0.84%
10/22/20,0.82%,0.88%,0.81%,0.87%
10/21/20,0.79%,0.83%,0.79%,0.82%
10/20/20,0.77%,0.81%,0.77%,0.79%
10/19/20,0.75%,0.78%,0.75%,0.77%
10/16/20,0.74%,0.76%,0.72%,0.75%
10/15/20,0.73%,0.74%,0.69%,0.74%
10/14/20,0.73%,0.74%,0.71%,0.73%
10/13/20,0.78%,0.78%,0.72%,0.73%
10/11/20,0.78%,0.78%,0.78%,0.78%
10/9/20,0.78%,0.80%,0.76%,0.78%
10/8/20,0.80%,0.80%,0.76%,0.78%
10/7/20,0.74%,0.80%,0.74%,0.80%
10/6/20,0.79%,0.79%,0.73%,0.74%
10/5/20,0.70%,0.79%,0.66%,0.79%
10/2/20,0.68%,0.72%,0.65%,0.70%
10/1/20,0.68%,0.72%,0.66%,0.68%
9/30/20,0.65%,0.70%,0.64%,0.68%
9/29/20,0.66%,0.66%,0.64%,0.65%
9/28/20,0.66%,0.68%,0.66%,0.66%
9/25/20,0.67%,0.68%,0.65%,0.66%
9/24/20,0.68%,0.68%,0.66%,0.67%
9/23/20,0.68%,0.69%,0.66%,0.68%
9/22/20,0.67%,0.68%,0.66%,0.68%
9/21/20,0.70%,0.70%,0.65%,0.67%
9/18/20,0.69%,0.70%,0.67%,0.70%
9/17/20,0.70%,0.70%,0.65%,0.69%
9/16/20,0.68%,0.70%,0.66%,0.70%
9/15/20,0.68%,0.69%,0.67%,0.68%
9/14/20,0.67%,0.68%,0.66%,0.68%
9/11/20,0.68%,0.69%,0.67%,0.67%
9/10/20,0.71%,0.72%,0.68%,0.68%
9/9/20,0.68%,0.71%,0.66%,0.71%
9/8/20,0.72%,0.72%,0.64%,0.68%
9/6/20,0.72%,0.72%,0.72%,0.72%
9/4/20,0.64%,0.72%,0.63%,0.72%
9/3/20,0.65%,0.67%,0.61%,0.64%
9/2/20,0.68%,0.69%,0.64%,0.65%
9/1/20,0.71%,0.73%,0.67%,0.68%
8/31/20,0.72%,0.74%,0.69%,0.71%
8/28/20,0.76%,0.79%,0.71%,0.72%
8/27/20,0.70%,0.76%,0.66%,0.76%
8/26/20,0.69%,0.72%,0.69%,0.70%
8/25/20,0.66%,0.71%,0.66%,0.69%
8/24/20,0.64%,0.66%,0.62%,0.66%
8/21/20,0.65%,0.66%,0.62%,0.64%
8/20/20,0.68%,0.68%,0.64%,0.65%
8/19/20,0.67%,0.69%,0.64%,0.68%
8/18/20,0.69%,0.69%,0.65%,0.67%
8/17/20,0.71%,0.72%,0.66%,0.69%
8/14/20,0.72%,0.73%,0.69%,0.71%
8/13/20,0.68%,0.73%,0.65%,0.72%
8/12/20,0.64%,0.69%,0.63%,0.68%
8/11/20,0.58%,0.66%,0.57%,0.64%
8/10/20,0.57%,0.59%,0.54%,0.58%
8/7/20,0.54%,0.58%,0.52%,0.57%
8/6/20,0.56%,0.56%,0.51%,0.54%
8/5/20,0.51%,0.56%,0.51%,0.56%
8/4/20,0.56%,0.56%,0.50%,0.51%
8/3/20,0.54%,0.57%,0.53%,0.56%
7/31/20,0.56%,0.56%,0.52%,0.54%
7/30/20,0.58%,0.58%,0.54%,0.56%
7/29/20,0.58%,0.60%,0.56%,0.58%
7/28/20,0.61%,0.64%,0.58%,0.58%
7/27/20,0.59%,0.61%,0.57%,0.61%
7/24/20,0.59%,0.60%,0.56%,0.59%
7/23/20,0.60%,0.60%,0.57%,0.59%
7/22/20,0.60%,0.61%,0.58%,0.60%
7/21/20,0.62%,0.63%,0.59%,0.60%
7/20/20,0.63%,0.63%,0.60%,0.62%
7/17/20,0.62%,0.64%,0.60%,0.63%
7/16/20,0.63%,0.63%,0.60%,0.62%
7/15/20,0.63%,0.66%,0.61%,0.63%
7/14/20,0.62%,0.64%,0.60%,0.63%
7/13/20,0.65%,0.67%,0.62%,0.62%
7/10/20,0.61%,0.65%,0.57%,0.65%
7/9/20,0.67%,0.67%,0.60%,0.61%
7/8/20,0.65%,0.68%,0.64%,0.67%
7/7/20,0.68%,0.69%,0.64%,0.65%
7/6/20,0.67%,0.71%,0.67%,0.68%
7/2/20,0.68%,0.71%,0.67%,0.67%
7/1/20,0.66%,0.71%,0.66%,0.68%
6/30/20,0.63%,0.67%,0.62%,0.66%
6/29/20,0.65%,0.66%,0.63%,0.63%
6/26/20,0.69%,0.69%,0.63%,0.65%
6/25/20,0.68%,0.69%,0.66%,0.69%
6/24/20,0.72%,0.73%,0.68%,0.68%
6/23/20,0.71%,0.73%,0.68%,0.72%
6/22/20,0.70%,0.71%,0.67%,0.71%
6/19/20,0.71%,0.74%,0.69%,0.70%
6/18/20,0.73%,0.74%,0.69%,0.71%
6/17/20,0.76%,0.77%,0.72%,0.73%
6/16/20,0.73%,0.78%,0.73%,0.76%
6/15/20,0.70%,0.73%,0.65%,0.73%
6/12/20,0.67%,0.72%,0.67%,0.70%
6/11/20,0.73%,0.73%,0.65%,0.67%
6/10/20,0.83%,0.83%,0.72%,0.73%
6/9/20,0.88%,0.88%,0.81%,0.83%
6/8/20,0.90%,0.93%,0.86%,0.88%
6/5/20,0.83%,0.95%,0.80%,0.90%
6/4/20,0.75%,0.83%,0.74%,0.83%
6/3/20,0.69%,0.77%,0.69%,0.75%
6/2/20,0.66%,0.69%,0.65%,0.69%
6/1/20,0.66%,0.69%,0.64%,0.66%
5/29/20,0.70%,0.70%,0.64%,0.66%
5/28/20,0.69%,0.72%,0.67%,0.70%
5/27/20,0.70%,0.73%,0.66%,0.69%
5/26/20,0.66%,0.72%,0.65%,0.70%
5/24/20,0.66%,0.66%,0.66%,0.66%
5/22/20,0.67%,0.68%,0.63%,0.66%
5/21/20,0.68%,0.69%,0.66%,0.67%
5/20/20,0.70%,0.72%,0.67%,0.68%
5/19/20,0.73%,0.74%,0.68%,0.70%
5/18/20,0.65%,0.74%,0.64%,0.73%
5/15/20,0.62%,0.65%,0.59%,0.65%
5/14/20,0.65%,0.65%,0.60%,0.62%
5/13/20,0.67%,0.67%,0.63%,0.65%
5/12/20,0.72%,0.73%,0.66%,0.67%
5/11/20,0.69%,0.73%,0.67%,0.72%
5/8/20,0.64%,0.69%,0.62%,0.69%
5/7/20,0.71%,0.72%,0.62%,0.64%
5/6/20,0.66%,0.75%,0.66%,0.71%
5/5/20,0.64%,0.68%,0.64%,0.66%
5/4/20,0.62%,0.65%,0.60%,0.64%
5/1/20,0.64%,0.65%,0.59%,0.62%
4/30/20,0.63%,0.65%,0.58%,0.64%
4/29/20,0.62%,0.65%,0.58%,0.63%
4/28/20,0.66%,0.67%,0.60%,0.62%
4/27/20,0.61%,0.67%,0.60%,0.66%
4/24/20,0.61%,0.62%,0.58%,0.61%
4/23/20,0.63%,0.64%,0.59%,0.61%
4/22/20,0.57%,0.64%,0.55%,0.63%
4/21/20,0.61%,0.62%,0.54%,0.57%
4/20/20,0.64%,0.65%,0.60%,0.61%
4/17/20,0.62%,0.69%,0.59%,0.64%
4/16/20,0.64%,0.66%,0.59%,0.62%
4/15/20,0.75%,0.76%,0.62%,0.64%
4/14/20,0.77%,0.78%,0.73%,0.75%
4/13/20,0.73%,0.77%,0.72%,0.77%
4/9/20,0.77%,0.79%,0.71%,0.73%
4/8/20,0.72%,0.79%,0.70%,0.77%
4/7/20,0.68%,0.79%,0.67%,0.72%
4/6/20,0.60%,0.69%,0.60%,0.68%
4/3/20,0.60%,0.62%,0.57%,0.60%
4/2/20,0.58%,0.64%,0.57%,0.60%
4/1/20,0.68%,0.68%,0.58%,0.58%
3/31/20,0.72%,0.73%,0.65%,0.68%
3/30/20,0.68%,0.73%,0.60%,0.72%
3/27/20,0.85%,0.86%,0.67%,0.68%
3/26/20,0.86%,0.86%,0.76%,0.85%
3/25/20,0.85%,0.88%,0.78%,0.86%
3/24/20,0.79%,0.89%,0.77%,0.85%
3/23/20,0.85%,0.85%,0.70%,0.79%
3/20/20,1.16%,1.16%,0.85%,0.85%
3/19/20,1.19%,1.27%,1.05%,1.16%
3/18/20,1.08%,1.27%,0.99%,1.19%
3/17/20,0.73%,1.10%,0.73%,1.08%
3/16/20,0.98%,0.98%,0.63%,0.73%
3/13/20,0.79%,1.02%,0.72%,0.98%
3/12/20,0.87%,0.91%,0.65%,0.79%
3/11/20,0.81%,0.89%,0.65%,0.87%
3/10/20,0.57%,0.81%,0.57%,0.81%
3/9/20,0.77%,0.77%,0.38%,0.57%
3/6/20,0.92%,0.92%,0.66%,0.77%
3/5/20,1.06%,1.06%,0.90%,0.92%
3/4/20,1.00%,1.06%,0.93%,1.06%
3/3/20,1.17%,1.17%,0.92%,1.00%
3/2/20,1.16%,1.17%,1.03%,1.17%
2/28/20,1.26%,1.28%,1.10%,1.16%
2/27/20,1.33%,1.33%,1.24%,1.26%
2/26/20,1.35%,1.38%,1.30%,1.33%
2/25/20,1.37%,1.42%,1.31%,1.35%
2/24/20,1.48%,1.48%,1.36%,1.37%
2/21/20,1.52%,1.53%,1.44%,1.48%
2/20/20,1.57%,1.58%,1.51%,1.52%
2/19/20,1.56%,1.58%,1.55%,1.57%
2/18/20,1.59%,1.59%,1.54%,1.56%
2/16/20,1.59%,1.59%,1.59%,1.59%
2/14/20,1.62%,1.62%,1.57%,1.59%
2/13/20,1.64%,1.64%,1.57%,1.62%
2/12/20,1.61%,1.64%,1.60%,1.64%
2/11/20,1.57%,1.61%,1.57%,1.61%
2/10/20,1.58%,1.60%,1.54%,1.57%
2/7/20,1.64%,1.65%,1.57%,1.58%
2/6/20,1.65%,1.69%,1.63%,1.64%
2/5/20,1.60%,1.66%,1.58%,1.65%
2/4/20,1.53%,1.62%,1.52%,1.60%
2/3/20,1.51%,1.57%,1.51%,1.53%
1/31/20,1.59%,1.60%,1.50%,1.51%
1/30/20,1.58%,1.60%,1.54%,1.59%
1/29/20,1.66%,1.67%,1.58%,1.58%
1/28/20,1.61%,1.66%,1.57%,1.66%
1/27/20,1.69%,1.69%,1.60%,1.61%
1/24/20,1.73%,1.77%,1.67%,1.69%
1/23/20,1.77%,1.77%,1.72%,1.73%
1/22/20,1.77%,1.80%,1.76%,1.77%
1/21/20,1.82%,1.83%,1.76%,1.77%
1/20/20,1.82%,1.82%,1.82%,1.82%
1/17/20,1.81%,1.85%,1.81%,1.82%
1/16/20,1.79%,1.82%,1.78%,1.81%
1/15/20,1.81%,1.82%,1.78%,1.79%
1/14/20,1.85%,1.87%,1.81%,1.81%
1/13/20,1.82%,1.86%,1.82%,1.85%
1/10/20,1.86%,1.87%,1.81%,1.82%
1/9/20,1.87%,1.90%,1.85%,1.86%
1/8/20,1.82%,1.88%,1.71%,1.87%
1/7/20,1.81%,1.83%,1.80%,1.82%
1/6/20,1.79%,1.82%,1.76%,1.81%
1/3/20,1.88%,1.88%,1.79%,1.79%
1/2/20,1.92%,1.95%,1.85%,1.88%
